sample_index,publication_id,reference_id,reference_order,exclusive_category,alignment_score,alignment_source,grobid_index,grobid_doi,grobid_title,grobid_journal,grobid_year,grobid_authors,grobid_volume,grobid_issue,grobid_pages,experiment19_status,resolver,matched_id,matched_doi,matched_title,matched_year,matched_venue,confidence,title_similarity,title_coverage,title_token_count,author_coverage,year_match,title_pair_similarity,title_pair_coverage,query,context
96,1332746,23940452,20,conference,1.0,match_report,20,,Employees' Intentions to Implement Green Practices in Hotels: The Interaction of Green Organizational Climate with Environmental Attitudes and Behaviors,,2020,L Errichiello; C Drago,,,,no_match,grobid_crossref_bibliographic,,10.1016/j.jhtm.2019.04.008,How do hotel employees' environmental attitudes and intentions to implement green practices relate to their ecological behavior?,2019,Elsevier BV,0.3306,0.1723,0.5385,13,0.0,False,0.5362,0.6154,Employees' Intentions to Implement Green Practices in Hotels: The Interaction of Green Organizational Climate with Environmental Attitudes and Behaviors errichiello 2020,"Errichiello, L., & Drago, C. (2020). Employees’ Intentions to Implement Green Practices in Hotels: The Interaction of Green Organizational Climate with Environmental Attitudes and Behaviors. 13th Annual Conference of the Euromed Academy of Business, Business Theory and Practice Across Industries and Markets. Palermo, Sicily, Italy."
97,1332746,23940469,37,journal_like_left,1.0,match_report,36,,Green Human Resource Management Practices and Organizational Citizenship Behavior in the Environment: The Interactive Effects of Green Passion,"International Transaction Journal of Engineering, Management & Applied Sciences & Technologies",2020,N Mohammad; Z Bibi; J Karim; D Durrani,11,6,1-10,no_match,grobid_crossref_bibliographic,,10.1108/cms-10-2019-0366,"Green human resource management, green organization identity and organizational citizenship behavior for the environment: the moderating effect of environmental values",2020,Emerald,0.4873,0.2864,0.6,15,0.0,True,0.7843,0.6923,"Green Human Resource Management Practices and Organizational Citizenship Behavior in the Environment: The Interactive Effects of Green Passion mohammad 2020 International Transaction Journal of Engineering, Management & Applied Sciences & Technologies","Mohammad, N., Bibi, Z., Karim, J., & Durrani, D. (2020). Green Human Resource Management Practices and Organizational Citizenship Behavior in the Environment: The Interactive Effects of Green Passion. International Transaction Journal of Engineering, Management & Applied Sciences & Technologies, 11(6), 1-10."
103,1263119,20632708,10,journal_like_left,1.0,match_report,10,,Predictors and clinical outcomes of permanent pacemaker implantation after transcatheter aortic valve replacement: the PARTNER (Placement of AoRtic TraNscathetER Valves) trial and registry,JACC Cardiovasc Interv,2015,T M Nazif; J M Dizon; R T Hahn,8,1,60-69,possible,grobid_crossref_bibliographic,,10.1016/j.jcin.2014.09.010,Permanent Pacemaker Implantation Following Transcatheter Aortic Valve Replacement,2015,Elsevier BV,0.6209,0.1983,0.875,8,0.0,True,0.5489,0.875,Predictors and clinical outcomes of permanent pacemaker implantation after transcatheter aortic valve replacement: the PARTNER (Placement of AoRtic TraNscathetER Valves) trial and registry nazif 2015 JACC Cardiovasc Interv,"10. Nazif TM, Dizon JM, Hahn RT, et al. Predictors and clinical outcomes of permanent pacemaker implantation after transcatheter aortic valve replacement: the PARTNER (Placement of AoRtic TraNscathetER Valves) trial and registry. JACC Cardiovasc Interv 2015;8(1 Pt A):60-9."
105,1207176,18230133,24,other,1.0,match_report,22,,Toprak ofisi hububat alımına başladı. s. 1-2,,1950,Demokrat,,,,no_match,grobid_crossref_bibliographic,,10.55119/artuklukaime.1756685,Demokrat Parti Döneminde Göç Politikaları (1950-1960),2025,Mardin Artuklu University,0.2221,0.3248,0.2857,7,0.0,False,0.3871,0.0,Toprak ofisi hububat alımına başladı. s. 1-2 demokrat 1950,Demokrat. (3 Haziran 1950). Toprak ofisi hububat alımına başladı. s. 1-2.
107,1207176,18230156,47,other,1.0,raw_similarity,36,,Çukurova'nın kalkınma davası. s. 1-2,,1952,Demokrat,,,,no_match,grobid_crossref_bibliographic,,10.38000/juhis.1539585,Demokrat Parti Dönemi Türkiye’sinin Baraj Davası,2024,Journal of Universal History Studies,0.2659,0.5437,0.2857,7,0.0,False,0.4146,0.25,Çukurova'nın kalkınma davası. s. 1-2 demokrat 1952,Demokrat. (9 Ocak 1952). Çukurova’nın kalkınma davası. s. 1-2.
112,1367552,25342298,41,other,0.8472,match_report,2,,"Ebî Tâlib, el-Keşf ʻan vücûhi'l-kırâ'âti's-sebʻ ve ʻilelihâ ve hucecihâ, thk",Muhyiddîn Ramadân (Beyrut: Müessesetü'r-Risâle,1997,,,,1-340,no_match,grobid_crossref_bibliographic,,10.56108/ujte.1584824,MUHAMMED B. EBÎ BEKR EL MAR‛AŞÎ’NİN RİSÂLE Fİ’T-TECVÎD RİSÂLESİNİN TAHKİK VE DEĞERLENDİRMESİ,2024,Universal Journal of Theology,0.2053,0.2766,0.2727,11,0.0,False,0.358,0.1,"Ebî Tâlib, el-Keşf ʻan vücûhi'l-kırâ'âti's-sebʻ ve ʻilelihâ ve hucecihâ, thk 1997 Muhyiddîn Ramadân (Beyrut: Müessesetü'r-Risâle","Mekkî b. Ebî Tâlib, Ebû Muhammed b. Hammuş b. Muhammed el-Kaysî. el-Keşf ʻan vücûhi’l-kırâ’âti’s-sebʻ ve ʻilelihâ ve hucecihâ. thk. Muhyiddîn Ramadân. 2 Cilt. Beyrut: Müessesetü’r-Risâle, 5. Basım, 1418/1997."
116,1379811,25757006,47,other,1.0,match_report,93,,Ebü'l-Muîn Meymûn b. Muhammed b. Mu'temid. Tebṣıratü'l-edille,,1990,Nesefî,,,,no_match,grobid_crossref_bibliographic,,10.1501/ilhfak_0000000690,MATÜRİDİ KELAM EKOLÜ'NÜN İKİ BÜYÜK SİMASI : EBÜ MANSER MATURİDİ VE EBU'L-MU'İN NESEFİ,1986,Ankara Universitesi Ilahiyat Fakultesi Dergisi,0.1752,0.1887,0.25,12,0.0,False,0.227,0.1667,Ebü'l-Muîn Meymûn b. Muhammed b. Mu'temid. Tebṣıratü'l-edille nesefi 1990,"Nesefî, Ebü’l-Muîn Meymûn b. Muhammed b. Mu‘temid. Tebṣıratü’l-edille. nşr. Claude Salame. 2 Cilt. Dımaşk: Institut Français de Damas, 1990."
125,1258017,20526969,2,hidden_doi,1.0,match_report,2,10.5923/j.ijit.20160501.05,The utilization of Web 2.0 tools in Saudi Higher Education: Opportunities and challenges,International Journal of Internet of Things,2016,F Alblehai,5,1,37-40,no_match,,,,,,,,,,,,,,,,"Alblehai, F. (2016). The utilization of Web 2.0 tools in Saudi Higher Education: Opportunities and challenges. International Journal of Internet of Things, 5(1), 37-40. http://doi.org/ 10.5923/j.ijit.20160501.05"
126,1258017,20526976,9,conference,1.0,match_report,9,,Strategies for implementation of Web 2.0 tools in academic education,,2011,G Bubas; A Coric; T Ve Orehovacki,,,,no_match,grobid_crossref_bibliographic,,10.24908/pceea.v0i0.3972,FOUR WEB TOOLS TO SUPPORT ACADEMIC DESIGN ACTIVITIES,2011,Queen's University Library,0.3497,0.07,0.4286,7,0.0,True,0.4667,0.5,Strategies for implementation of Web 2.0 tools in academic education bubas 2011,"Bubas, G., Coric, A., ve Orehovacki, T. (2011, June). Strategies for implementation of Web 2.0 tools in academic education. [Sözel sunum]. 17th European University Information Systems International Congress, Dublin, Ireland."
131,1241363,19728078,9,other,1.0,match_report,9,,Fütüvvet Kavramının/Kurumunun Askerî ve Siyasî Mahiyeti,Ahilik Uluslararası Sempozyumu,2011,F Demirtaş,,,403-423,no_match,grobid_crossref_bibliographic,,10.54860/beyder.1033450,FÜTÜVVET VE AHİLİK ÇALIŞMALARININ KAYNAKLARI,2021,Bilgi Ekonomisi ve Yonetimi Dergisi,0.3451,0.3506,0.5,4,0.0,False,0.4444,0.25,Fütüvvet Kavramının/Kurumunun Askerî ve Siyasî Mahiyeti demirtas 2011 Ahilik Uluslararası Sempozyumu,"Demirtaş, F. (2011). Fütüvvet Kavramının/Kurumunun Askerî ve Siyasî Mahiyeti. Ahilik Uluslararası Sempozyumu, 403-423."
133,1220538,18788239,15,other,1.0,match_report,119,,Ebû Muḥammed ʿAbdullah b. ʿAbdurrahmân. Sünen. thk,Ḥüseyin Selîm Esed. Suudi Arabistan: Dârü'l-Muġnî,2000,Dârimî,,,,no_match,,,,,,,,,,,,,,,,"Dârimî, Ebû Muḥammed ʿAbdullah b. ʿAbdurrahmân. Sünen. thk. Ḥüseyin Selîm Esed. Suudi Arabistan: Dârü’l-Muġnî, 2000."
135,1298510,22301689,31,other,1.0,raw_similarity,23,,"Drying kinetics of wheat, barley and maize grain",Italian Journal of Food Science,2018,D Noroña; M Y Arancibia; P Amancha; M Paucar; O Gonzalez; M Quilambaqui; A Portilla; E Delgado,,,106-116,no_match,grobid_crossref_bibliographic,,10.1016/c2018-0-04173-0,Wheat and Barley Grain Biofortification,2020,Elsevier,0.4573,0.2242,0.75,4,0.0,False,0.4186,0.75,"Drying kinetics of wheat, barley and maize grain norona 2018 Italian Journal of Food Science","Noroña, D., Arancibia, M. Y., Amancha, P., Paucar, M., Gonzalez, O., Quilambaqui, M., Portilla, A., and Delgado, E., Drying kinetics of wheat, barley and maize grain. Italian Journal of Food Science, 106-116, (2018)."
139,1161423,16084284,22,other,1.0,match_report,22,,Structural equation modelling: Guidelines for determining model fit,Electronic journal of business research methods,2008,D Hooper; J Coughlan; M R Mullen,6,1,53-60,no_match,grobid_crossref_bibliographic,,10.1093/hesc/9780192896599.003.0012,Structural equation modelling,2022,Oxford University Press,0.75,1.0,1.0,3,0.0,False,1.0,1.0,Structural equation modelling: Guidelines for determining model fit hooper 2008 Electronic journal of business research methods,"Hooper, D., Coughlan, J., and Mullen, M. R. (2008). Structural equation modelling: Guidelines for determining model fit. Electronic journal of business research methods, 6(1), (pp. 53-60)."
140,1161423,16084293,31,other,1.0,match_report,31,,The impact of organisational culture factors on innovation levels in SMEs: An empirical investigation,Irish Journal of Management,2006,B Kenny; E Reedy,27,2,1-17,no_match,grobid_crossref_bibliographic,,10.1142/s1363919604001027,INNOVATION AND ORGANISATIONAL SIZE IN IRISH SMES: AN EMPIRICAL STUDY,2004,World Scientific Pub Co Pte Ltd,0.5453,0.4348,0.8333,6,0.0,False,0.5389,0.6667,The impact of organisational culture factors on innovation levels in SMEs: An empirical investigation kenny 2006 Irish Journal of Management,"Kenny, B., and Reedy, E. (2006). The impact of organisational culture factors on innovation levels in SMEs: An empirical investigation. Irish Journal of Management, 27(2). 1-17."
148,1176987,16735765,31,journal_like_left,1.0,raw_similarity,31,,Approach to the Woman in Labor: Oral nutrition,J Nurs Sci,2012,S Ergöl; K Eroglu; L Taskın,4,1,23-29,no_match,grobid_crossref_bibliographic,,10.1038/ijos.2012.39,Halitosis: the multidisciplinary approach,2012,Springer Science and Business Media LLC,0.2973,0.07,0.3333,3,0.0,True,0.1882,0.3333,Approach to the Woman in Labor: Oral nutrition ergol 2012 J Nurs Sci,"31. Ergöl S, Eroglu K, Taskın L. Approach to the Woman in Labor: Oral nutrition. J Nurs Sci. 2012; 4(1): 23-9. 32. Rathfish G. Labor. In: Beji NK, editor. Woman’s Health and Diseases. 1st ed. İstanbul: Nobel Medicine Bookstore; 2015: 312-4."
178,1293326,22069182,23,other,1.0,match_report,23,,"Akademik başarının yordayıcısı olarak yalnızlık, sınav kaygısı ve sosyal destek",Hacettepe Üniversitesi Eğitim Fakültesi Dergisi,2000,İ Yıldırım,18,18,167-176,no_match,grobid_crossref_bibliographic,,10.33308/26674874.2020342208,"Öğrencilerde Eudaimonianın ve Akademik Başarının Yordayıcısı Olarak Ekonomik, Sosyal ve Kültürel Düzey",2020,Istanbul Kultur University,0.3808,0.5292,0.5,10,0.0,False,0.5698,0.5556,"Akademik başarının yordayıcısı olarak yalnızlık, sınav kaygısı ve sosyal destek yildirim 2000 Hacettepe Üniversitesi Eğitim Fakültesi Dergisi","Yıldırım, İ. (2000). Akademik başarının yordayıcısı olarak yalnızlık, sınav kaygısı ve sosyal destek. Hacettepe Üniversitesi Eğitim Fakültesi Dergisi, 18(18). 167-176."
179,1385960,26726630,19,other,1.0,match_report,20,,Associations between physical activities and gestational diabetes mellitus in the first trimester of pregnancy,Zhonghua Liu Xing Bing Xue Za Zhi,2020,Y H Feng; Y L Zhan; Y Lyu; S S Wu; Y W Wang; S Y Cai,41,,829-833,no_match,grobid_crossref_bibliographic,,10.2337/figshare.13262768,Exercise During the First Trimester of Pregnancy and the Risks of Abnormal Screening and Gestational Diabetes Mellitus,2020,American Diabetes Association,0.4523,0.0115,0.5455,11,0.3333,True,0.4035,0.6,Associations between physical activities and gestational diabetes mellitus in the first trimester of pregnancy feng 2020 Zhonghua Liu Xing Bing Xue Za Zhi,"20. Feng YH, Zhan YL, Lyu Y, Wu SS, Wang YW, Cai SY, et al. Associations between physical activities and gestational diabetes mellitus in the first trimester of pregnancy. Zhonghua Liu Xing Bing Xue Za Zhi 2020;41:829— 33. [Article in Chinese]"
183,1273200,21078409,12,other,1.0,match_report,13,,"İzmit Körfezi'nde Su, Sediment, Mezgit (Gadus Merlangus L.1758) ve İstavrit (Trachurus Mediterraneus S.1868) Balıklarında Poliklorlu Bifeniller İle DDT'nin Saptanması. Ankara Üniversitesi Fen Bilimleri Enstitüsü Su Ürünleri Anabilim Dalı",,2006,G Ç Cakıroğulları,,,457,no_match,grobid_crossref_bibliographic,,10.25092/baunfbed.546640,"Marmara Denizi, Bandırma Körfezi sarıkuyruk istavrit [(Trachurus mediterraneus (Steindachner, 1868)]’in bazı populasyon parametreleri",2019,Balikesir Universitesi Fen Bilimleri Enstitusu Dergisi,0.2687,0.2857,0.3846,13,0.0,False,0.3146,0.3846,"İzmit Körfezi'nde Su, Sediment, Mezgit (Gadus Merlangus L.1758) ve İstavrit (Trachurus Mediterraneus S.1868) Balıklarında Poliklorlu Bifeniller İle DDT'nin Saptanması. Ankara Üniversitesi Fen Bilimleri Enstitüsü Su Ürünleri Anabilim Dalı cakirogullari 2006","Cakıroğulları, G.Ç. (2006). İzmit Körfezi’nde Su, Sediment, Mezgit (Gadus Merlangus L.1758) ve İstavrit (Trachurus Mediterraneus S.1868) Balıklarında Poliklorlu Bifeniller İle DDT’nin Saptanması. Ankara Üniversitesi Fen Bilimleri Enstitüsü Su Ürünleri Anabilim Dalı. Ankara, Türkiye, 457s."
194,1264243,23208885,216,other,1.0,match_report,785,,New triglycerides from antimicrobial extracts of Nepeta hindostana weed,,2017,A A Siddique; R S Bhakuni; L Misra; P Gupta; M P Darokar,,,,no_match,grobid_crossref_bibliographic,,10.1055/s-2007-969582,Nepehinol - a new Triterpene from<i>Nepeta Hindostana</i>,1985,Georg Thieme Verlag KG,0.4203,0.4516,0.6,5,0.0,False,0.5806,0.6,New triglycerides from antimicrobial extracts of Nepeta hindostana weed siddique 2017,"Siddique, A. A., Bhakuni, R. S., Misra, L., Gupta, P. and Darokar, M. P. 2017. New triglycerides from antimicrobial extracts of Nepeta hindostana weed."
201,1189906,17315952,24,journal_like_left,1.0,match_report,25,,Eğitim fakültesini yeni kazanan öğretmen adaylarının öğretmenlik mesleğine giriş dersini almadan önce ve aldıktan sonra öğretmenlik mesleği hakkındaki metaforlarının karşılaştırılması,Afyon Kocatepe Üniversitesi Sosyal Bilimler Dergisi,2006,Gürbüz Ocak; M Gündüz,8,2,293-311,no_match,grobid_crossref_bibliographic,,10.29065/usakead.1827363,Öğretmenlik Mesleğine Geçişte Yeni Paradigma: Akademi Giriş Sınavı (AGS) ve Öğretmen Adaylarının Deneyimleri,2026,Usak Universitesi Egitim Arastirmalari Dergisi,0.2792,0.0212,0.5,12,0.0,False,0.4306,0.5,Eğitim fakültesini yeni kazanan öğretmen adaylarının öğretmenlik mesleğine giriş dersini almadan önce ve aldıktan sonra öğretmenlik mesleği hakkındaki metaforlarının karşılaştırılması ocak 2006 Afyon Kocatepe Üniversitesi Sosyal Bilimler Dergisi,"Ocak, Gürbüz & Gündüz, M.(2006). Eğitim fakültesini yeni kazanan öğretmen adaylarının öğretmenlik mesleğine giriş dersini almadan önce ve aldıktan sonra öğretmenlik mesleği hakkındaki metaforlarının karşılaştırılması, Afyon Kocatepe Üniversitesi Sosyal Bilimler Dergisi, 8(2), 293-311."
219,1276601,21392458,9,journal_like_left,1.0,match_report,9,,Afyon-Bolvadin Yüzey Araştırmaları 2002 (Neolitik Çağdan İlk Tunç Çağına Kadar),,2004,Ö Koçak,1,,173-184,no_match,grobid_crossref_bibliographic,,10.26650/med.1317620,"Neolitik Çağdan Tunç Çağları Sonuna Kadar Üretimde, Yönetimde ve Ticarette Kadının Bıraktığı İzler",2024,Istanbul University,0.2627,0.3966,0.3333,12,0.0,False,0.3793,0.3636,Afyon-Bolvadin Yüzey Araştırmaları 2002 (Neolitik Çağdan İlk Tunç Çağına Kadar) kocak 2004,"Koçak, Ö. (2004b). “Afyon-Bolvadin Yüzey Araştırmaları 2002 (Neolitik Çağdan İlk Tunç Çağına Kadar)”, Araştırma Sonuçları Toplantısı-21, cilt.1, 173-184."
234,1368470,25976658,36,other,1.0,match_report,57,,Predicting soil erosion by water: a guide to conservation planning with the Revised Universal Soil Loss Equation (RUSLE). US Department of Agriculture,,1997,K G Renard,,,,no_match,grobid_crossref_bibliographic,,10.1201/9780203739358-5,The Revised Universal Soil Loss Equation,2017,Routledge,0.8,1.0,1.0,5,0.3333,False,1.0,1.0,Predicting soil erosion by water: a guide to conservation planning with the Revised Universal Soil Loss Equation (RUSLE). US Department of Agriculture renard 1997,"Renard, K. G. 1997. Predicting soil erosion by water: a guide to conservation planning with the Revised Universal Soil Loss Equation (RUSLE). US Department of Agriculture, Agricultural Research Service."
238,1280839,21466856,42,conference,1.0,match_report,41,,Impact of migration on economic development: A study of some selected state,,2011,N Roy; A Debnath,5,,198-202,no_match,grobid_crossref_bibliographic,,10.1596/1813-9450-5558,Impact of migration on economic and social development: A review of evidence and emerging issues,2011,World Bank,0.5426,0.4942,0.625,8,0.0,True,0.6509,0.5714,Impact of migration on economic development: A study of some selected state roy 2011,"Roy, N. ve Debnath, A. (2011). “Impact of migration on economic development: A study of some selected state”, International Conference on Social Science and Humanity, 5, 198-202."
258,1207297,18193104,2,other,0.9961,match_report,10,,Uluslararası Andlaşmaların ve Teamül Kurallarının Türk Hukukunda Uygulanması ve Hiyerarşik Değeri,,2003,A Akıl,VII,,239-261,no_match,grobid_crossref_bibliographic,,10.26650/pb/ss48.2023.003.004,Türk Hukukunda ve Uluslararası Hukukta Çocuk Hakları,2023,Istanbul University Press,0.3362,0.306,0.5,6,0.0,False,0.3758,0.5,Uluslararası Andlaşmaların ve Teamül Kurallarının Türk Hukukunda Uygulanması ve Hiyerarşik Değeri akil 2003,"Akıl A, “Uluslararası Andlaşmaların ve Teamül Kurallarının Türk Hukukunda Uygulanması ve Hiyerarşik Değeri”, (2003) VII (1-2) AÜHFD 239-261."
262,1216803,19013447,38,other,0.9971,raw_similarity,22,,Yüzyıl Sonları Rus ve Avusturya Savaşları Esnasında Osmanlı Devleti'nde Bir Uyguluma: İstanbul'da İçki ve Fuhuş Yasağı,Turkish Studies,2007,Osman Köse,,,104-123,no_match,grobid_crossref_bibliographic,,10.17822/omad.2022.227,Arşiv Belgelerine Göre 19. Yüzyıl Sonları 20. Yüzyıl Başlarında Osmanlı Devleti nde Nafaka Sorunsalı,2022,Osmanlı Mirası Araştırmaları Dergisi,0.365,0.4502,0.5,12,0.0,False,0.5116,0.5,Yüzyıl Sonları Rus ve Avusturya Savaşları Esnasında Osmanlı Devleti'nde Bir Uyguluma: İstanbul'da İçki ve Fuhuş Yasağı kose 2007 Turkish Studies,"KÖSE, Osman, “XVIII. Yüzyıl Sonları Rus ve Avusturya Savaşları Esnasında Osmanlı Devleti’nde Bir Uyguluma: İstanbul’da İçki ve Fuhuş Yasağı”, Turkish Studies, 2/1, Kış 2007, s. 104-123."
263,1216803,19013449,40,other,1.0,raw_similarity,24,,İllet-i efrenciye (İzmir'de frengiyle mücadele),,2000,Abdullah Martal,,,88-91,no_match,grobid_crossref_bibliographic,,10.3848/iif.2000.177.5196,Türkiye''de Enflasyonla Mücadele Sürecinde Son Dönem Uygulamalar Ve Değerlendirmesi,2000,Iktisat Isletme ve Finans Dergisi,0.243,0.371,0.125,8,0.0,True,0.3307,0.2,İllet-i efrenciye (İzmir'de frengiyle mücadele) martal 2000,"MARTAL, Abdullah, “İllet-i efrenciye (İzmir’de frengiyle mücadele)”, Tepekule Tarih Yerel Tarih Araştırmaları Dergisi, Sayı: 1, İlkbahar 2000, s. 88-91."
